1  buys  Synset('buy.v.05')
19  control  Synset('see.v.10')
19  facility  Synset('facility.n.05')
19  in  Synset('indium.n.01')
19  Mogi  None
19  Mirim  None
19  ,  None
19  Brazil  Synset('brazil.n.01')
20  said  Synset('say.v.09')
20  the  None
20  company  Synset('ship's_company.n.01')
20  ,  None
20  known  Synset('know.v.03')
20  as  Synset('vitamin_a.n.01')
20  Walker  Synset('walker.n.05')
20  Exhaust  Synset('exhaust.v.04')
20  Systems  Synset('system.n.08')
20  do  Synset('practice.v.01')
20  Brasil  Synset('brazil.n.01')
20  would  None
20  supply  Synset('supply.n.02')
20  catalytic  Synset('catalytic.a.01')
20  converters  Synset('converter.n.01')
20  and  None
20  exhaust  Synset('exhaust.v.04')
20  systems  Synset('system.n.08')
20  for  None
20  Volkswagen  None
20  AB9  None
20  CS5  None
20  platforms  Synset('platform.n.03')
21  do  Synset('suffice.v.01')
21  Brasil  Synset('brazil.n.01')
22  said  Synset('state.v.01')
22  it  Synset('information_technology.n.01')
22  expected  Synset('expected.a.01')
22  to  None
22  achieve  Synset('achieve.v.01')
22  200  Synset('two_hundred.s.01')
22  percent  Synset('percentage.n.01')
22  growth  Synset('growth.n.01')
22  in  Synset('indium.n.01')
22  combined  Synset('unite.v.03')
22  Brazil  Synset('brazil.n.01')
22  and  None
22  Argentina  Synset('argentina.n.01')
22  revenues  Synset('tax_income.n.01')
22  by  Synset('by.r.01')
22  2000  None
23  expected  Synset('expected.a.01')
23  to  None
23  achieve  Synset('achieve.v.01')
23  200  Synset('two_hundred.s.01')
23  percent  Synset('percentage.n.01')
23  growth  Synset('growth.n.01')
23  in  Synset('indium.n.01')
23  combined  Synset('unite.v.03')
23  Brazil  Synset('brazil.n.01')
23  and  None
23  Argentina  Synset('argentina.n.01')
23  revenues  Synset('tax_income.n.01')
23  by  Synset('by.r.01')
23  2000  None
