1  recovers  Synset('recuperate.v.04')
16  3  Synset('three.s.01')
16  percent  Synset('percentage.n.01')
17  boosted  Synset('promote.v.01')
17  group  Synset('group.v.02')
17  profits  Synset('winnings.n.01')
18  has  Synset('hour_angle.n.02')
18  a  Synset('deoxyadenosine_monophosphate.n.01')
18  very  Synset('identical.s.02')
18  strong  Synset('potent.a.03')
18  recovery  Synset('recovery.n.03')
18  in  Synset('indium.n.01')
18  group  Synset('group.v.02')
18  profits  Synset('net_income.n.01')
18  the  None
18  first  Synset('first_base.n.02')
18  quarter  Synset('stern.n.01')
18  of  None
18  1996/97  None
18  business  Synset('occupation.n.01')
18  year  Synset('year.n.03')
19  posted  Synset('post.v.08')
19  net  Synset('net_income.n.01')
19  profit  Synset('net_income.n.01')
19  of  None
19  18.5  None
19  billion  Synset('billion.s.01')
19  yen  Synset('yen.n.02')
19  -LRB-  None
19  $  None
19  172  None
19  million  Synset('million.s.01')
19  -RRB-  None
19  on  Synset('on.r.03')
19  a  Synset('deoxyadenosine_monophosphate.n.01')
19  group  Synset('group.v.02')
19  basis  Synset('footing.n.02')
19  in  Synset('inch.n.01')
19  the  None
19  three  Synset('trey.n.02')
19  months  Synset('month.n.02')
19  to  None
19  June  Synset('june.n.01')
19  30  Synset('thirty.n.01')
19  ,  None
19  rebounding  Synset('rally.v.04')
19  from  None
19  huge  Synset('huge.s.01')
19  loss  Synset('loss.n.06')
19  151.3  None
19  1.41  None
19  year  Synset('year.n.03')
19  ago  Synset('ago.s.01')
20  said  Synset('order.v.01')
20  sales  Synset('sale.n.05')
20  at  Synset('at.n.02')
20  its  Synset('information_technology.n.01')
20  electronic  Synset('electronic.a.01')
20  parts  Synset('share.n.01')
20  division  Synset('part.n.09')
20  fell  Synset('fell.n.02')
20  3  Synset('three.n.01')
20  percent  Synset('percentage.n.01')
20  ,  None
20  partly  Synset('partially.r.01')
20  due  Synset('due.n.02')
20  to  None
20  the  None
20  sluggish  Synset('sluggish.s.01')
20  semiconductor  Synset('semiconductor.n.01')
20  market  Synset('market.v.03')
21  makes  Synset('shuffle.n.01')
21  Japanese  Synset('japanese.n.02')
21  companies  Synset('ship's_company.n.01')
21  more  Synset('more.r.01')
21  competitive  Synset('competitive.s.03')
21  overseas  Synset('abroad.s.01')
21  ,  None
21  because  None
21  it  Synset('information_technology.n.01')
21  lowers  Synset('lower_berth.n.01')
21  the  None
21  price  Synset('price.v.02')
21  of  None
21  their  None
21  goods  Synset('commodity.n.01')
21  in  Synset('in.r.01')
21  foreign  Synset('foreign.a.02')
21  exchange  Synset('substitution.n.02')
21  terms  Synset('terminus.n.03')
22  lowers  Synset('lower_berth.n.01')
22  the  None
22  price  Synset('price.v.02')
22  of  None
22  their  None
22  goods  Synset('commodity.n.01')
22  in  Synset('in.r.01')
22  foreign  Synset('foreign.a.02')
22  exchange  Synset('substitution.n.02')
22  terms  Synset('terminus.n.03')
23  posted  Synset('post.v.08')
23  a  Synset('deoxyadenosine_monophosphate.n.01')
23  group  Synset('group.v.02')
23  net  Synset('net_income.n.01')
23  loss  Synset('loss.n.06')
23  in  Synset('indium.n.01')
23  the  None
23  first  Synset('first_base.n.02')
23  quarter  Synset('quarter.n.04')
23  of  None
23  1995/96  None
23  because  None
23  foreign  Synset('alien.s.01')
23  exchange  Synset('substitution.n.02')
23  losses  Synset('loss.n.06')
23  stemming  Synset('stem.v.03')
23  from  None
23  sale  Synset('sale.n.05')
23  an  Synset('associate_in_nursing.n.01')
23  80  Synset('eighty.n.01')
23  percent  Synset('percentage.n.01')
23  stake  Synset('post.n.09')
23  U.S.  Synset('united_states_government.n.01')
23  filmmaker  Synset('film_maker.n.01')
23  MCA  None
23  Inc.  None
24  would  None
24  have  Synset('have.v.01')
24  made  Synset('stool.v.04')
24  a  Synset('deoxyadenosine_monophosphate.n.01')
24  group  Synset('group.v.02')
24  net  Synset('net_income.n.01')
24  profit  Synset('net_income.n.01')
24  of  None
24  12.9  None
24  billion  Synset('billion.s.02')
24  yen  Synset('yen.n.02')
24  -LRB-  None
24  $  None
24  120  Synset('long_hundred.n.01')
24  million  Synset('million.s.01')
24  -RRB-  None
24  in  Synset('indium.n.01')
24  that  None
24  quarter  Synset('quarter.n.13')
25  had  Synset('suffer.v.02')
25  not  Synset('not.r.01')
25  changed  Synset('change.v.06')
25  its  Synset('information_technology.n.01')
25  forecast  Synset('prognosis.n.01')
25  for  None
25  parent  Synset('parent.n.01')
25  current  Synset('current.a.01')
25  profit  Synset('net_income.n.01')
25  and  None
25  sales  Synset('sale.n.05')
25  the  None
25  half-year  None
25  to  None
25  Sept.  None
25  30  Synset('thirty.n.01')
25  ,  None
25  1996  None
25  because  None
25  there  Synset('there.r.03')
25  remained  Synset('stay.v.01')
25  uncertainties  Synset('doubt.n.01')
25  over  Synset('all_over.r.01')
25  overall  Synset('overall.n.02')
25  Japanese  Synset('japanese.n.02')
25  economy  Synset('economy.n.01')
25  yen/dollar  None
25  exchange  Synset('substitution.n.02')
25  rate  Synset('rate.v.03')
26  remained  Synset('stay.v.01')
26  uncertainties  Synset('doubt.n.01')
26  over  Synset('all_over.r.01')
26  the  None
26  overall  Synset('overall.n.02')
26  Japanese  Synset('japanese.n.02')
26  economy  Synset('economy.n.01')
26  and  None
26  yen/dollar  None
26  exchange  Synset('exchange.v.04')
26  rate  Synset('rate.v.03')
27  had  Synset('suffer.v.02')
27  projected  Synset('project.v.06')
27  its  Synset('information_technology.n.01')
27  April-September  None
27  parent  Synset('parent.n.01')
27  current  Synset('stream.n.02')
27  profit  Synset('profit.n.02')
27  at  Synset('at.n.02')
27  46  Synset('forty-six.s.01')
27  billion  Synset('billion.s.02')
27  yen  Synset('yen.n.02')
27  -LRB-  None
27  $  None
27  429  None
27  million  Synset('million.s.01')
27  -RRB-  None
27  on  Synset('on.r.03')
27  expected  Synset('expect.v.05')
27  sales  Synset('sale.n.04')
27  of  None
27  2.2  None
27  trillion  Synset('trillion.s.02')
27  20.5  None
28  posted  Synset('post.v.06')
28  a  Synset('deoxyadenosine_monophosphate.n.01')
28  first-half  None
28  parent  Synset('parent.n.01')
28  current  Synset('current.n.02')
28  profit  Synset('net_income.n.01')
28  of  None
28  41.22  None
28  billion  Synset('billion.s.02')
28  yen  Synset('yen.n.02')
28  -LRB-  None
28  $  None
28  385  None
28  million  Synset('million.s.01')
28  -RRB-  None
28  on  Synset('on.r.03')
28  sales  Synset('sale.n.01')
28  2.16  None
28  trillion  Synset('trillion.s.02')
28  20.1  None
29  A  Synset('deoxyadenosine_monophosphate.n.01')
29  drop  Synset('flatten.v.03')
29  in  Synset('indium.n.01')
29  the  None
29  yen  Synset('yen.n.02')
29  makes  Synset('draw.v.04')
29  Japanese  Synset('japanese.n.02')
29  companies  Synset('ship's_company.n.01')
29  more  Synset('more.r.01')
29  competitive  Synset('competitive.s.03')
29  overseas  Synset('overseas.r.02')
29  ,  None
30  Matsushita  None
30  said  Synset('pronounce.v.01')
30  it  Synset('information_technology.n.01')
30  posted  Synset('post.v.08')
30  a  Synset('deoxyadenosine_monophosphate.n.01')
30  group  Synset('group.v.02')
30  net  Synset('net_income.n.01')
30  loss  Synset('loss.n.06')
30  in  Synset('indium.n.01')
30  the  None
30  first  Synset('first_base.n.02')
30  quarter  Synset('stern.n.01')
30  of  None
30  1995/96  None
31  Despite  Synset('contempt.n.01')
31  a  Synset('deoxyadenosine_monophosphate.n.01')
31  strong  Synset('potent.a.03')
31  recovery  Synset('recovery.n.03')
31  in  Synset('indium.n.01')
31  group  Synset('group.v.02')
31  earnings  Synset('net_income.n.01')
31  the  None
31  first  Synset('first_gear.n.01')
31  quarter  Synset('quarter.n.13')
31  ,  None
31  Matsushita  None
31  said  Synset('pronounce.v.01')
31  it  Synset('information_technology.n.01')
31  had  Synset('induce.v.02')
31  not  Synset('not.r.01')
31  changed  Synset('change.v.02')
31  its  Synset('information_technology.n.01')
31  forecast  Synset('prognosis.n.01')
31  for  None
31  parent  Synset('parent.n.01')
31  current  Synset('current.a.01')
31  profit  Synset('net_income.n.01')
31  and  None
31  sales  Synset('sale.n.05')
31  half-year  None
31  to  None
31  Sept.  None
31  30  Synset('thirty.n.01')
31  1996  None
