Ngrams,Class
going on,neutral
on and,neutral
and got,neutral
got out,neutral
out early,neutral
one floor,neutral
the office,neutral
office of,neutral
of the,neutral
the clerk,neutral
clerk of,neutral
of the,neutral
the courts,neutral
courts for,neutral
for the,neutral
the u,neutral
u s,neutral
district court,neutral
court for,neutral
for the,neutral
the eastern,neutral
eastern district,neutral
district of,neutral
of virginia,neutral
virginia normally,neutral
normally closes,neutral
closes at,neutral
p m,neutral
but judges,neutral
judges have,neutral
have the,neutral
the authority,neutral
authority to,neutral
to order,neutral
order the,neutral
the clerks,neutral
clerks to,neutral
to stay,neutral
stay and,neutral
and await,neutral
a u,neutral
u s,neutral
district court,neutral
court judge,neutral
judge had,neutral
had not,neutral
not announced,neutral
announced by,neutral
by the,neutral
the regular,neutral
regular close,neutral
close of,neutral
of business,neutral
business on,neutral
on friday,neutral
friday whether,neutral
whether he,neutral
he would,neutral
would issue,neutral
issue an,neutral
an injunction,neutral
injunction blocking,neutral
blocking the,neutral
the reorganization,neutral
reorganization plan,neutral
plan of,neutral
of financially,neutral
financially strapped,neutral
strapped insurance,neutral
insurance market,neutral
the indictment,neutral
indictment alleged,neutral
alleged that,neutral
that three,neutral
three of,neutral
of premium,neutral
premium s,neutral
s top,neutral
top officers,neutral
kenneth thenen,neutral
his son,neutral
scott thenen,neutral
and daniel,neutral
daniel morris,neutral
headed a,neutral
a massive,neutral
massive fraud,neutral
fraud scheme,neutral
scheme that,neutral
that bilked,neutral
bilked investors,neutral
investors of,neutral
of hundreds,neutral
hundreds of,neutral
of millions,neutral
millions of,neutral
of dollars,neutral
dollars and,neutral
and used,neutral
used the,neutral
the money,neutral
money to,neutral
to fund,neutral
fund lavish,neutral
lavish lifestyles,neutral
lifestyles that,neutral
that included,neutral
included luxury,neutral
luxury homes,neutral
russian security,neutral
security chief,neutral
chief alexander,neutral
alexander lebed,neutral
lebed pressed,neutral
pressed on,neutral
on with,neutral
with his,neutral
his plan,neutral
plan to,neutral
to bring,neutral
bring peace,neutral
peace to,neutral
to chechnya,neutral
chechnya on,neutral
on friday,neutral
armed at,neutral
at last,neutral
last with,neutral
with the,neutral
the public,neutral
public blessing,neutral
blessing of,neutral
of president,neutral
president boris,neutral
boris yeltsin,neutral
yeltsin and,neutral
and his,neutral
his permission,neutral
permission to,neutral
itar tass,neutral
tass news,neutral
news agency,neutral
agency reported,neutral
reported that,neutral
that lebed,neutral
lebed briefed,neutral
briefed yeltsin,neutral
yeltsin late,neutral
late on,neutral
on friday,neutral
friday and,neutral
and the,neutral
the president,neutral
president gave,neutral
gave the,neutral
the former,neutral
former paratroop,neutral
paratroop general,neutral
general his,neutral
his approval,neutral
approval to,neutral
to seek,neutral
seek a,neutral
a political,neutral
political solution,neutral
solution in,neutral
in talks,neutral
talks with,neutral
with leaders,neutral
leaders of,neutral
president bill,neutral
bill clinton,neutral
endorsing a,neutral
a plan,neutral
plan broadening,neutral
broadening the,neutral
the food,neutral
food and,neutral
and drug,neutral
drug administration,neutral
administration s,neutral
s fda,neutral
approved rules,neutral
rules to,neutral
to curb,neutral
curb teen,neutral
teen smoking,neutral
smoking by,neutral
by restricting,neutral
restricting the,neutral
the sale,neutral
sale and,neutral
and advertising,neutral
advertising of,neutral
of tobacco,neutral
the white,neutral
against a,neutral
a backdrop,neutral
backdrop of,neutral
of election,neutral
election year,neutral
year politics,neutral
clinton publicly,neutral
publicly embraced,neutral
embraced a,neutral
a controversial,neutral
controversial plan,neutral
plan that,neutral
that has,neutral
has been,neutral
been softened,neutral
softened from,neutral
from a,neutral
a more,neutral
more stringent,neutral
stringent approach,neutral
the president,neutral
president has,neutral
has accepted,neutral
accepted and,neutral
and authorized,neutral
the fda,neutral
fda action,neutral
action after,neutral
after an,neutral
an internal,neutral
internal administration,neutral
administration review,neutral
white house,neutral
house press,neutral
press secretary,neutral
the restrictions,neutral
restrictions include,neutral
include limiting,neutral
limiting vending,neutral
vending machine,neutral
machine sales,neutral
sales and,neutral
and curbing,neutral
curbing advertising,neutral
advertising aimed,neutral
aimed at,neutral
mccurry said,neutral
said clinton,neutral
clinton in,neutral
in essence,neutral
essence has,neutral
has accepted,neutral
that cigarettes,neutral
cigarettes and,neutral
and smokeless,neutral
smokeless tobacco,neutral
tobacco are,neutral
are delivery,neutral
delivery devices,neutral
for nicotine,neutral
which the,neutral
the administration,neutral
administration believes,neutral
believes qualifies,neutral
qualifies them,neutral
them to,neutral
to fall,neutral
fall under,neutral
under the,neutral
clinton approves,neutral
approves fda,neutral
fda curbs,neutral
curbs on,neutral
on teen,neutral
here is,neutral
is how,neutral
how major,neutral
major stock,neutral
stock markets,neutral
markets outside,neutral
outside the,neutral
the united,neutral
united states,neutral
stocks ended,neutral
ended almost,neutral
almost unchanged,neutral
unchanged as,neutral
as a,neutral
a weaker,neutral
weaker dollar,neutral
dollar and,neutral
and softer,neutral
softer german,neutral
german bonds,neutral
bonds weighed,neutral
weighed on,neutral
czech central,neutral
central bank,neutral
bank committed,neutral
committed to,neutral
to its,neutral
its crown,neutral
czech national,neutral
national bank,neutral
bank cnb,neutral
governor josef,neutral
josef tosovsky,neutral
tosovsky on,neutral
on friday,neutral
friday said,neutral
said the,neutral
the central,neutral
central bank,neutral
bank was,neutral
was committed,neutral
committed to,neutral
to keeping,neutral
keeping the,neutral
the crown,neutral
crown strong,neutral
despite some,neutral
some calls,neutral
calls to,neutral
to depreciate,neutral
depreciate the,neutral
speaking after,neutral
after a,neutral
a meeting,neutral
meeting with,neutral
with prime,neutral
prime minister,neutral
minister vaclav,neutral
vaclav klaus,neutral
klaus and,neutral
and top,neutral
top business,neutral
business executives,neutral
tosovsky said,neutral
said the,neutral
the central,neutral
central bank,neutral
bank would,neutral
would keep,neutral
keep the,neutral
the crown,neutral
crown within,neutral
within the,neutral
the current,neutral
current band,neutral
band against,neutral
against which,neutral
which it,neutral
it fixes,neutral
fixes the,neutral
the currency,neutral
currency daily,neutral
daily versus,neutral
i said,neutral
said that,neutral
that we,neutral
we will,neutral
will try,neutral
try to,neutral
to keep,neutral
keep the,neutral
the rate,neutral
rate within,neutral
within the,neutral
the plus,neutral
plus minus,neutral
percent band,neutral
band against,neutral
against the,neutral
the mark,neutral
mark dollar,neutral
dollar cross,neutral
cross rate,neutral
i dismissed,neutral
dismissed speculation,neutral
speculation that,neutral
that we,neutral
we would,neutral
would want,neutral
want to,neutral
to move,neutral
move the,neutral
the crown,neutral
crown in,neutral
in some,neutral
some way,neutral
way outside,neutral
outside the,neutral
the band,neutral
german stocks,neutral
stocks close,neutral
close steady,neutral
steady before,neutral
german equities,neutral
equities ended,neutral
ended on,neutral
on friday,neutral
friday almost,neutral
almost unchanged,neutral
unchanged from,neutral
from closing,neutral
closing levels,neutral
levels on,neutral
on thursday,neutral
as a,neutral
a weaker,neutral
weaker dollar,neutral
dollar and,neutral
and softer,neutral
softer german,neutral
german bonds,neutral
bonds weighed,neutral
sentiment is,neutral
is definitely,neutral
definitely warmer,neutral
warmer after,neutral
after the,neutral
the repo,neutral
we re,neutral
re not,neutral
not really,neutral
really going,neutral
going to,neutral
to see,neutral
see any,neutral
any kind,neutral
kind of,neutral
of trend,neutral
trend until,neutral
until monday,neutral
said one,neutral
but the,neutral
the ministry,neutral
ministry said,neutral
said britain,neutral
britain had,neutral
had always,neutral
always met,neutral
met its,neutral
its obligation,neutral
obligation not,neutral
not to,neutral
to send,neutral
send to,neutral
to other,neutral
other eu,neutral
eu countries,neutral
countries the,neutral
the calves,neutral
calves of,neutral
of cows,neutral
cows in,neutral
in which,neutral
which bse,neutral
bse was,neutral
britain says,neutral
says it,neutral
it complied,neutral
complied with,neutral
with europe,neutral
europe s,neutral
s bse,neutral
britain on,neutral
on friday,neutral
friday denied,neutral
denied a,neutral
a report,neutral
report that,neutral
that it,neutral
it had,neutral
had secretly,neutral
secretly avoided,neutral
avoided implementing,neutral
implementing european,neutral
european union,neutral
union eu,neutral
rules to,neutral
to stop,neutral
stop mad,neutral
mad cow,neutral
cow disease,neutral
disease spreading,neutral
the guardian,neutral
guardian newspaper,neutral
newspaper said,neutral
said almost,neutral
almost two,neutral
two million,neutral
million cattle,neutral
cattle were,neutral
were sold,neutral
sold to,neutral
to britain,neutral
britain s,neutral
s eu,neutral
eu partners,neutral
partners without,neutral
without adequate,neutral
adequate controls,neutral
controls to,neutral
to see,neutral
see if,neutral
if they,neutral
they had,neutral
had been,neutral
been born,neutral
born to,neutral
to cows,neutral
cows infected,neutral
infected with,neutral
with bovine,neutral
bovine spongiform,neutral
spongiform encephalopathy,neutral
encephalopathy bse,neutral
the paper,neutral
paper alleged,neutral
alleged that,neutral
that the,neutral
the ministry,neutral
ministry of,neutral
of agriculture,neutral
agriculture issued,neutral
issued secret,neutral
secret orders,neutral
orders to,neutral
to its,neutral
its officials,neutral
officials that,neutral
that they,neutral
they need,neutral
need carry,neutral
carry out,neutral
out computer,neutral
computer checks,neutral
checks on,neutral
on only,neutral
percent of,neutral
of calves,neutral
calves exported,neutral
eu rules,neutral
rules required,neutral
turkish officials,neutral
officials hailed,neutral
hailed on,neutral
on friday,neutral
friday a,neutral
a move,neutral
move by,neutral
by royal,neutral
royal dutch,neutral
dutch shell,neutral
shell group,neutral
group to,neutral
to build,neutral
build a,neutral
a gas,neutral
gas terminal,neutral
terminal and,neutral
and power,neutral
power plant,neutral
plant complex,neutral
complex worth,neutral
billion in,neutral
in turkey,neutral
turkey as,neutral
as a,neutral
a return,neutral
return of,neutral
of foreign,neutral
foreign confidence,neutral
confidence to,neutral
to the,neutral
the country,neutral
country hit,neutral
hit by,neutral
by political,neutral
political and,neutral
and economic,neutral
we have,neutral
have expressed,neutral
expressed our,neutral
our intention,neutral
intention to,neutral
to the,neutral
the energy,neutral
energy ministry,neutral
ministry to,neutral
to build,neutral
build an,neutral
an lng,neutral
lng terminal,neutral
terminal and,neutral
and a,neutral
a power,neutral
power generation,neutral
generation unit,neutral
unit with,neutral
with a,neutral
a total,neutral
total capacity,neutral
capacity of,neutral
a statement,neutral
the first,neutral
first power,neutral
power unit,neutral
unit will,neutral
will be,neutral
be of,neutral
mw capacity,neutral
the building,neutral
building workers,neutral
union ig,neutral
ig bau,neutral
bau and,neutral
and the,neutral
the two,neutral
two leading,neutral
leading industry,neutral
industry associations,neutral
associations revealed,neutral
revealed a,neutral
a new,neutral
new agreement,neutral
agreement for,neutral
for a,neutral
a minimum,neutral
minimum hourly,neutral
hourly wage,neutral
wage of,neutral
marks for,neutral
for west,neutral
west germany,neutral
germany and,neutral
marks for,neutral
for workers,neutral
workers in,neutral
in the,neutral
the east,neutral
considerably below,neutral
below levels,neutral
levels they,neutral
they tried,neutral
but failed,neutral
in a,neutral
a statement,neutral
the union,neutral
union said,neutral
said it,neutral
it had,neutral
had agreed,neutral
agreed to,neutral
to compromise,neutral
compromise on,neutral
on a,neutral
a lower,neutral
lower minimum,neutral
minimum wage,neutral
wage because,neutral
because of,neutral
of the,neutral
the increasing,neutral
increasing urgency,neutral
urgency of,neutral
of getting,neutral
getting legislation,neutral
legislation in,neutral
in place,neutral
place to,neutral
to ward,neutral
ward off,neutral
off competition,neutral
competition from,neutral
both sides,neutral
sides declared,neutral
declared unanimously,neutral
unanimously during,neutral
during the,neutral
the talks,neutral
talks that,neutral
that there,neutral
there was,neutral
was an,neutral
an urgent,neutral
urgent need,neutral
need to,neutral
to act,neutral
act on,neutral
on a,neutral
german building,neutral
building sector,neutral
sector urges,neutral
urges new,neutral
new minimum,neutral
minimum wage,neutral
the german,neutral
german construction,neutral
construction industry,neutral
industry on,neutral
on friday,neutral
friday launched,neutral
launched a,neutral
a fresh,neutral
fresh attempt,neutral
attempt to,neutral
to set,neutral
set a,neutral
a minimum,neutral
minimum wage,neutral
wage for,neutral
for the,neutral
the sector,neutral
sector and,neutral
and urged,neutral
urged other,neutral
other industry,neutral
industry groups,neutral
groups not,neutral
not to,neutral
to block,neutral
block the,neutral
the initiative,neutral
initiative as,neutral
as they,neutral
i m,neutral
m not,neutral
not going,neutral
going to,neutral
to comment,neutral
comment at,neutral
at all,neutral
all on,neutral
on this,neutral
this report,neutral
robert francis,neutral
francis of,neutral
of the,neutral
the national,neutral
national transportation,neutral
transportation safety,neutral
safety board,neutral
board said,neutral
said on,neutral
on nbc,neutral
nbc tv,neutral
tv s,neutral
the new,neutral
new york,neutral
york times,neutral
times reported,neutral
reported in,neutral
in friday,neutral
friday s,neutral
s edition,neutral
edition that,neutral
that traces,neutral
traces of,neutral
of petn,neutral
a chemical,neutral
chemical in,neutral
in plastic,neutral
plastic explosives,neutral
had been,neutral
been found,neutral
found in,neutral
in pieces,neutral
pieces of,neutral
of the,neutral
the wreckage,neutral
wreckage pulled,neutral
pulled from,neutral
from the,neutral
the atlantic,neutral
the newspaper,neutral
newspaper cited,neutral
cited as,neutral
as sources,neutral
sources three,neutral
three senior,neutral
senior officials,neutral
officials deeply,neutral
deeply involved,neutral
involved in,neutral
in the,neutral
the investigation,neutral
investigation who,neutral
who spoke,neutral
spoke on,neutral
on condition,neutral
twa s,neutral
s flight,neutral
from new,neutral
new york,neutral
york to,neutral
to paris,neutral
paris exploded,neutral
exploded and,neutral
and crashed,neutral
air crash,neutral
crash investigator,neutral
investigator silent,neutral
silent on,neutral
on explosives,neutral
the chief,neutral
chief investigator,neutral
investigator of,neutral
of the,neutral
the crash,neutral
crash of,neutral
of twa,neutral
twa flight,neutral
refused on,neutral
on friday,neutral
friday to,neutral
to confirm,neutral
confirm a,neutral
a report,neutral
report in,neutral
in the,neutral
the new,neutral
new york,neutral
york times,neutral
times that,neutral
that a,neutral
a trace,neutral
trace of,neutral
of explosives,neutral
explosives had,neutral
had been,neutral
been found,neutral
found in,neutral
in the,neutral
the wreckage,neutral
netanyahu targets,neutral
targets illegal,neutral
illegal foreign,neutral
the communique,neutral
communique said,neutral
said the,neutral
the cabinet,neutral
cabinet would,neutral
would take,neutral
take a,neutral
a practical,neutral
practical decision,neutral
but ishai,neutral
ishai s,neutral
s plan,neutral
plan was,neutral
was no,neutral
no blueprint,neutral
blueprint for,neutral
for a,neutral
a mass,neutral
mass exodus,neutral
exodus from,neutral
from israel,neutral
israel of,neutral
of workers,neutral
workers from,neutral
from countries,neutral
countries such,neutral
such as,neutral
as romania,neutral
turkey and,neutral
and china,neutral
china who,neutral
who now,neutral
now do,neutral
do the,neutral
the low,neutral
low paying,neutral
paying manual,neutral
manual labour,neutral
labour of,neutral
of palestinians,neutral
palestinians barred,neutral
barred from,neutral
from the,neutral
the beijing,neutral
beijing municipal,neutral
municipal higher,neutral
higher people,neutral
people s,neutral
s court,neutral
court sentenced,neutral
sentenced hong,neutral
hong yang,neutral
a chinese,neutral
chinese national,neutral
to five,neutral
five years,neutral
years in,neutral
in prison,neutral
prison for,neutral
for accepting,neutral
accepting bribes,neutral
bribes totalling,neutral
the sentence,neutral
sentence was,neutral
was dealt,neutral
dealt with,neutral
with leniently,neutral
and according,neutral
according to,neutral
to law,neutral
xinhua said,neutral
a former,neutral
former employee,neutral
employee of,neutral
of the,neutral
the people,neutral
people s,neutral
s bank,neutral
bank of,neutral
of china,neutral
or central,neutral
central bank,neutral
was arrested,neutral
arrested in,neutral
in december,neutral
december while,neutral
while on,neutral
on an,neutral
an imf,neutral
imf mission,neutral
mission to,neutral
to china,neutral
china and,neutral
and was,neutral
he was,neutral
was then,neutral
then sentenced,neutral
sentenced to,neutral
years in,neutral
in jail,neutral
china cuts,neutral
cuts sentence,neutral
sentence of,neutral
of imf,neutral
imf staffer,neutral
staffer in,neutral
in graft,neutral
a chinese,neutral
chinese appeals,neutral
appeals court,neutral
court on,neutral
on friday,neutral
friday reduced,neutral
reduced to,neutral
to five,neutral
five years,neutral
years from,neutral
the sentence,neutral
sentence of,neutral
of an,neutral
an international,neutral
international monetary,neutral
monetary fund,neutral
fund imf,neutral
staff member,neutral
africa s,neutral
s most,neutral
most populous,neutral
populous country,neutral
relies on,neutral
on the,neutral
the two,neutral
two million,neutral
million barrels,neutral
barrels of,neutral
of crude,neutral
crude oil,neutral
oil it,neutral
it pumps,neutral
pumps every,neutral
every day,neutral
day for,neutral
for about,neutral
oil minister,neutral
minister dan,neutral
dan etete,neutral
etete told,neutral
told executives,neutral
executives of,neutral
of the,neutral
the major,neutral
major companies,neutral
companies in,neutral
in lagos,neutral
lagos late,neutral
late on,neutral
on thursday,neutral
thursday that,neutral
that rules,neutral
rules would,neutral
would be,neutral
be strictly,neutral
strictly enforced,neutral
enforced to,neutral
to redress,neutral
icahn said,neutral
said he,neutral
he and,neutral
and his,neutral
his companies,neutral
companies bought,neutral
bought the,neutral
the stock,neutral
stock for,neutral
for investment,neutral
investment since,neutral
since they,neutral
they believe,neutral
believe that,neutral
that the,neutral
the shares,neutral
icahn lifts,neutral
lifts rjr,neutral
rjr stake,neutral
repeats spin,neutral
spin off,neutral
investor carl,neutral
carl icahn,neutral
icahn said,neutral
said thursday,neutral
thursday he,neutral
he raised,neutral
raised his,neutral
his stake,neutral
stake in,neutral
in rjr,neutral
rjr nabisco,neutral
nabisco holdings,neutral
holdings corp,neutral
percent and,neutral
and repeated,neutral
repeated his,neutral
his call,neutral
call for,neutral
for an,neutral
an immediate,neutral
immediate spin,neutral
spin off,neutral
off of,neutral
of its,neutral
its nabisco,neutral
nabisco holdings,neutral
in a,neutral
a filing,neutral
filing with,neutral
with the,neutral
the securities,neutral
securities and,neutral
and exchange,neutral
exchange commission,neutral
icahn said,neutral
said he,neutral
he and,neutral
and his,neutral
his companies,neutral
companies bought,neutral
million additional,neutral
additional shares,neutral
shares of,neutral
of the,neutral
the tobacco,neutral
tobacco and,neutral
and food,neutral
food company,neutral
company between,neutral
between aug,neutral
at prices,neutral
prices ranging,neutral
ranging from,neutral
that raised,neutral
raised his,neutral
his stake,neutral
stake to,neutral
which were,neutral
were purchased,neutral
purchased for,neutral
for a,neutral
a total,neutral
total of,neutral
he previously,neutral
previously held,neutral
held about,neutral
about a,neutral
he s,neutral
s got,neutral
got a,neutral
a sore,neutral
sore throat,neutral
brother noel,neutral
noel gallagher,neutral
gallagher told,neutral
told the,neutral
the selected,neutral
selected audience,neutral
audience at,neutral
at the,neutral
the royal,neutral
royal festival,neutral
british rock,neutral
rock band,neutral
band oasis,neutral
oasis plays,neutral
plays secret,neutral
just a,neutral
a week,neutral
week after,neutral
after performing,neutral
performing in,neutral
in front,neutral
front of,neutral
at one,neutral
one of,neutral
of britain,neutral
britain s,neutral
s largest,neutral
largest rock,neutral
rock events,neutral
superstars oasis,neutral
oasis played,neutral
played for,neutral
for a,neutral
a select,neutral
select few,neutral
few at,neutral
at a,neutral
four hundred,neutral
hundred excited,neutral
excited fans,neutral
fans who,neutral
who had,neutral
had won,neutral
won tickets,neutral
tickets for,neutral
for friday,neutral
friday s,neutral
s intimate,neutral
intimate concert,neutral
concert sat,neutral
sat on,neutral
on the,neutral
the edge,neutral
